Time (s), Cell Name, Value
2.2527, C000, 1963.242
3.80456, C000, 4214.309
29.0348, C000, 421.435
46.15532, C000, 3132.555
176.51156, C000, 2932.419
177.01216, C000, 2651.834
293.55184, C000, 963.5488
294.55304, C000, 1494.524
43.90262, C001, 946.3026
44.75364, C001, 2270.505
74.83969999999999, C001, 703.3859
86.40356, C001, 587.9006
89.95782, C001, 802.9628
100.12, C001, 1045.361
171.2052, C001, 1298.12
171.7058, C001, 1159.381
172.40664, C001, 1433.621
173.65814, C001, 6380.946
206.14708, C001, 1776.151
213.95644, C001, 1283.095
215.60842, C001, 648.7325
216.30926, C001, 2633.017
272.42652, C001, 797.2056
312.72482, C001, 701.5364
108.58014, C002, 253.022
112.33464, C002, 1784.177
113.08554, C002, 6402.442
114.28698, C002, 763.1196
122.647, C002, 351.8684
201.2412, C002, 292.7918
274.02844, C002, 974.7753
274.3288, C002, 1478.453
274.67922, C002, 944.1161
279.48498, C002, 2996.008
285.24188, C002, 296.6737
288.19542, C002, 261.1413
39.7977, C003, 708.9003
41.0492, C003, 565.9697
41.90022, C003, 4748.377
45.40442, C003, 680.9725
77.44282, C003, 656.4652
185.67254, C003, 571.6373
202.89318, C003, 798.6458
204.79546, C003, 512.4561
231.22714, C003, 595.2968
312.47452, C003, 1225.697
314.07644, C003, 502.4911
116.43956, C004, 536.2689
134.96176, C004, 399.8014
140.06788, C004, 1204.083
140.96896, C004, 1184.291
141.81998, C004, 1208.253
142.37064, C004, 1079.13
143.1716, C004, 1957.791
143.52202, C004, 1921.453
144.52322, C004, 1837.517
145.52442, C004, 3214.195
147.12634, C004, 865.4074
159.04062, C004, 739.7913
306.1169, C004, 429.5461
306.96792, C004, 495.8376
309.07044, C004, 938.5132
137.4147, C005, 501.5027
139.4171, C005, 597.9285
139.71746, C005, 1914.173
140.26812, C005, 2701.149
140.86884, C005, 768.7017
141.61974, C005, 1054.046
145.6746, C005, 879.3437
146.37544, C005, 723.1178
147.22646, C005, 843.744
148.87844, C005, 718.1401
149.77952, C005, 1016.389
153.03342, C005, 652.6719
157.38864, C005, 2004.078
157.78912, C005, 1563.373
33.2899, C006, 514.6728
76.04114, C006, 407.5428
156.33738, C006, 1635.933
157.08828, C006, 1099.242
157.9393, C006, 503.8979
158.89044, C006, 566.6392
161.34338, C006, 341.0447
180.51636, C006, 331.5033
216.65968, C006, 516.5698
228.87432, C006, 389.6205
229.97564, C006, 517.3286
284.69122, C006, 498.2346
286.64356, C006, 565.8029
299.8594, C006, 489.5695
301.46132, C006, 550.7819
307.91906, C006, 619.6058
25.93108, C007, 895.8093
41.0492, C007, 818.6913
54.66552, C007, 563.0195
74.18892, C007, 447.0593
91.60980000000001, C007, 485.4153
127.85324, C007, 428.9124
128.05348, C007, 955.7634
128.253719, C007, 3134.635
